"title","industry","genre","year","director","cast","rating","description","poster_url"
"Thoda Pyaar Thoda Magic","Bollywood","Comedy Drama Family","2008","Kunal Kohli","Rishi Kapoor, Saif Ali Khan, Rani Mukerji, Akshat Chopra","5.3","A Bollywood Comedy Drama Family film released in 2008, directed by Kunal Kohli and starring Rishi Kapoor, Saif Ali Khan, Rani Mukerji, Akshat Chopra.",""
"Jaane Kahan Se Aayi Hai","Bollywood","Comedy Drama Fantasy","2010","Milap Zaveri","Priyanka Chopra, Akshay Kumar, Jacqueline Fernandez, Karan Johar","4.4","A Bollywood Comedy Drama Fantasy film released in 2010, directed by Milap Zaveri and starring Priyanka Chopra, Akshay Kumar, Jacqueline Fernandez, Karan Johar.",""
"Get Educated: Paathshaala","Bollywood","Drama","2010","Milind Ukey","Nana Patekar, Shahid Kapoor, Ayesha Takia, Sushant Singh","5.3","A Bollywood Drama film released in 2010, directed by Milind Ukey and starring Nana Patekar, Shahid Kapoor, Ayesha Takia, Sushant Singh.",""
"Ek Vivaah... Aisa Bhi","Bollywood","Drama Romance","2008","Kaushik Ghatak","Isha Koppikar, Sonu Sood, Anand Abhyankar, Daman Baggan","5.3","A Bollywood Drama Romance film released in 2008, directed by Kaushik Ghatak and starring Isha Koppikar, Sonu Sood, Anand Abhyankar, Daman Baggan.",""
"Kites","Bollywood","Action Drama Romance","2010","Anurag Basu","Hrithik Roshan, B?rbara Mori, Steven Michael Quezada, Kangana Ranaut","5.3","A Bollywood Action Drama Romance film released in 2010, directed by Anurag Basu and starring Hrithik Roshan, B?rbara Mori, Steven Michael Quezada, Kangana Ranaut.",""
"Bad Luck Govind","Bollywood","Comedy Crime Drama","2009","Varun Khanna","Gaurav Kapoor, Hrishitaa Bhatt, Govind Namdeo, Zakir Hussain","4.4","A Bollywood Comedy Crime Drama film released in 2009, directed by Varun Khanna and starring Gaurav Kapoor, Hrishitaa Bhatt, Govind Namdeo, Zakir Hussain.",""
"Tulsi: Mathrudevobhava","Bollywood","Drama","2008","Ajay Kumar","Manisha Koirala, Irrfan Khan, Sadashiv Amrapurkar, Tinnu Anand","4.4","A Bollywood Drama film released in 2008, directed by Ajay Kumar and starring Manisha Koirala, Irrfan Khan, Sadashiv Amrapurkar, Tinnu Anand.",""
"Acid Factory","Bollywood","Action Crime Drama","2009","Suparn Verma","Fardeen Khan, Dia Mirza, Manoj Bajpayee, Aftab Shivdasani","4.4","A Bollywood Action Crime Drama film released in 2009, directed by Suparn Verma and starring Fardeen Khan, Dia Mirza, Manoj Bajpayee, Aftab Shivdasani.",""
"Ab... Bas!","Bollywood","Thriller","2004","Rajesh Kumar Singh","Chetanya Adeep, Shawar Ali, Arun Bakshi, Chitrapama","4.4","A Bollywood Thriller film released in 2004, directed by Rajesh Kumar Singh and starring Chetanya Adeep, Shawar Ali, Arun Bakshi, Chitrapama.",""
"Barah Aana","Bollywood","Comedy Crime Drama","2009","Raja Menon","Naseeruddin Shah, Vijay Raaz, Arjun Mathur, Violante Placido","4.4","A Bollywood Comedy Crime Drama film released in 2009, directed by Raja Menon and starring Naseeruddin Shah, Vijay Raaz, Arjun Mathur, Violante Placido.",""
"Dil Bole Hadippa!","Bollywood","Comedy Drama Sport","2009","Anurag Singh","Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil","5.3","A Bollywood Comedy Drama Sport film released in 2009, directed by Anurag Singh and starring Shahid Kapoor, Rani Mukerji, Anupam Kher, Dalip Tahil.",""
"Bhram: An Illusion","Bollywood","Drama Mystery Romance","2008","Pavan Kaul","Dino Morea, Milind Soman, Sheetal Menon, Simone Singh","4.4","A Bollywood Drama Mystery Romance film released in 2008, directed by Pavan Kaul and starring Dino Morea, Milind Soman, Sheetal Menon, Simone Singh.",""
"26th July at Barista","Bollywood","Drama","2008","Mohan Sharma","Ajita, Himani Chawla, Sumeet Chawla, Suresh Dubey","4.4","A Bollywood Drama film released in 2008, directed by Mohan Sharma and starring Ajita, Himani Chawla, Sumeet Chawla, Suresh Dubey.",""
"Jannat: In Search of Heaven...","Bollywood","Crime Drama Romance","2008","Kunal Deshmukh","Emraan Hashmi, Sonal Chauhan, Shakeel Khan, Sameer Kochhar","9.8","A Bollywood Crime Drama Romance film released in 2008, directed by Kunal Deshmukh and starring Emraan Hashmi, Sonal Chauhan, Shakeel Khan, Sameer Kochhar.",""
"Yaar Meri Zindagi","Bollywood","Drama Family Musical","2008","Ashok Gupta, Mukul Dutt","Amitabh Bachchan, Shatrughan Sinha, Sharda, Sudha Chandran","4.4","A Bollywood Drama Family Musical film released in 2008, directed by Ashok Gupta, Mukul Dutt and starring Amitabh Bachchan, Shatrughan Sinha, Sharda, Sudha Chandran.",""
"The President Is Coming","Bollywood","Comedy","2009","Kunaal Roy Kapur","Konkona Sen Sharma, Shernaz Patel, Shivani Tanksale, Anand Tiwari","4.4","A Bollywood Comedy film released in 2009, directed by Kunaal Roy Kapur and starring Konkona Sen Sharma, Shernaz Patel, Shivani Tanksale, Anand Tiwari.",""
"Dil Kabaddi","Bollywood","Comedy Drama","2008","Anil Senior","Irrfan Khan, Rahul Bose, Rahul Khanna, Konkona Sen Sharma","5.3","A Bollywood Comedy Drama film released in 2008, directed by Anil Senior and starring Irrfan Khan, Rahul Bose, Rahul Khanna, Konkona Sen Sharma.",""
"Via Darjeeling","Bollywood","Drama Mystery Thriller","2008","Arindam Nandy","Kay Kay Menon, Sonali Kulkarni, Parvin Dabas, Vinay Pathak","4.4","A Bollywood Drama Mystery Thriller film released in 2008, directed by Arindam Nandy and starring Kay Kay Menon, Sonali Kulkarni, Parvin Dabas, Vinay Pathak.",""
"EMI: Liya Hai To Chukana Padega","Bollywood","Comedy Crime Drama","2008","Saurabh Kabra","Malaika Arora, Arun Bakshi, Aashish Chaudhary, Snehal Dabi","4.4","A Bollywood Comedy Crime Drama film released in 2008, directed by Saurabh Kabra and starring Malaika Arora, Arun Bakshi, Aashish Chaudhary, Snehal Dabi.",""
"Welcome to Sajjanpur","Bollywood","Comedy Drama","2008","Shyam Benegal","Shreyas Talpade, Amrita Rao, Ravi Kishan, Ila Arun","7.1","A Bollywood Comedy Drama film released in 2008, directed by Shyam Benegal and starring Shreyas Talpade, Amrita Rao, Ravi Kishan, Ila Arun.",""
"Mumbai Cutting","Bollywood","Drama","2011","Jahnu Barua, Rahul Dholakia, Rituparno Ghosh, Shashanka Ghosh, Manish Jha, Anurag Kashyap, Sudhir Mishra, Ruchi Narain, Ayush Raina, Revathy, Kundan Shah","Raj Singh Arora, Abhisar Bose, Neetu Chandra, Master Chinmay","4.4","A Bollywood Drama film released in 2011, directed by Jahnu Barua, Rahul Dholakia, Rituparno Ghosh, Shashanka Ghosh, Manish Jha, Anurag Kashyap, Sudhir Mishra, Ruchi Narain, Ayush Raina, Revathy, Kundan Shah and starring Raj Singh Arora, Abhisar Bose, Neetu Chandra, Master Chinmay.",""
"Blue","Bollywood","Action Adventure Romance","2009","Anthony D'Souza","Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan","5.3","A Bollywood Action Adventure Romance film released in 2009, directed by Anthony D'Souza and starring Akshay Kumar, Sanjay Dutt, Lara Dutta, Zayed Khan.",""
"Sirf....: Life Looks Greener on the Other Side","Bollywood","Drama","2008","Rajatesh Nayyar","Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Sonali Kulkarni","4.4","A Bollywood Drama film released in 2008, directed by Rajatesh Nayyar and starring Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Sonali Kulkarni.",""
