"title","industry","genre","year","director","cast","rating","description","poster_url"
"Albela","Bollywood","Romance","2001","Deepak Sareen","Govinda, Aishwarya Rai Bachchan, Jackie Shroff, Namrata Shirodkar","5.3","A Bollywood Romance film released in 2001, directed by Deepak Sareen and starring Govinda, Aishwarya Rai Bachchan, Jackie Shroff, Namrata Shirodkar.",""
"Lagaan: Once Upon a Time in India","Bollywood","Adventure Drama Musical","2001","Ashutosh Gowariker","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne","8.9","A Bollywood Adventure Drama Musical film released in 2001, directed by Ashutosh Gowariker and starring Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne.",""
"Meri Biwi Ka Jawab Nahin","Bollywood","Action Comedy","2004","Pankaj Parashar, S.M. Iqbal","Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde","4.4","A Bollywood Action Comedy film released in 2004, directed by Pankaj Parashar, S.M. Iqbal and starring Akshay Kumar, Sridevi, Gulshan Grover, Laxmikant Berde.",""
"Hum Tumhare Hain Sanam","Bollywood","Drama Romance","2002","K.S. Adiyaman","Shah Rukh Khan, Madhuri Dixit, Salman Khan, Atul Agnihotri","7.1","A Bollywood Drama Romance film released in 2002, directed by K.S. Adiyaman and starring Shah Rukh Khan, Madhuri Dixit, Salman Khan, Atul Agnihotri.",""
"One 2 Ka 4","Bollywood","Action Comedy Drama","2001","Shashilal K. Nair","Shah Rukh Khan, Juhi Chawla, Jackie Shroff, Nirmal Pandey","4.4","A Bollywood Action Comedy Drama film released in 2001, directed by Shashilal K. Nair and starring Shah Rukh Khan, Juhi Chawla, Jackie Shroff, Nirmal Pandey.",""
"Devdas","Bollywood","Musical Romance","2002","Sanjay Leela Bhansali","Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff","8.9","A Bollywood Musical Romance film released in 2002, directed by Sanjay Leela Bhansali and starring Shah Rukh Khan, Madhuri Dixit, Aishwarya Rai Bachchan, Jackie Shroff.",""
"Aap Mujhe Achche Lagne Lage","Bollywood","Action Drama Romance","2002","Vikram Bhatt","Hrithik Roshan, Ameesha Patel, Kiran Kumar, Mukesh Tiwari","5.3","A Bollywood Action Drama Romance film released in 2002, directed by Vikram Bhatt and starring Hrithik Roshan, Ameesha Patel, Kiran Kumar, Mukesh Tiwari.",""
"Kabhi Khushi Kabhie Gham...","Bollywood","Drama Musical Romance","2001","Karan Johar","Amitabh Bachchan, Jaya Bhaduri, Shah Rukh Khan, Kajol","10.7","A Bollywood Drama Musical Romance film released in 2001, directed by Karan Johar and starring Amitabh Bachchan, Jaya Bhaduri, Shah Rukh Khan, Kajol.",""
"Na Tum Jaano Na Hum","Bollywood","Comedy Drama Musical","2002","Arjun Sablok","Saif Ali Khan, Hrithik Roshan, Esha Deol, Alok Nath","4.4","A Bollywood Comedy Drama Musical film released in 2002, directed by Arjun Sablok and starring Saif Ali Khan, Hrithik Roshan, Esha Deol, Alok Nath.",""
"Yaadein...","Bollywood","Musical Drama Romance","2001","Subhash Ghai","Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri","5.3","A Bollywood Musical Drama Romance film released in 2001, directed by Subhash Ghai and starring Jackie Shroff, Hrithik Roshan, Kareena Kapoor, Amrish Puri.",""
"Zubeidaa","Bollywood","Adventure Biography Drama","2001","Shyam Benegal","Karisma Kapoor, Rekha, Manoj Bajpayee, Rajit Kapoor","4.4","A Bollywood Adventure Biography Drama film released in 2001, directed by Shyam Benegal and starring Karisma Kapoor, Rekha, Manoj Bajpayee, Rajit Kapoor.",""
"Chori Chori Chupke Chupke","Bollywood","Drama Musical Romance","2001","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Preity Zinta, Salman Khan, Rani Mukerji, Amrish Puri","8","A Bollywood Drama Musical Romance film released in 2001, directed by Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla and starring Preity Zinta, Salman Khan, Rani Mukerji, Amrish Puri.",""
"Main Prem Ki Diwani Hoon","Bollywood","Musical Drama Romance","2003","Sooraj R. Barjatya","Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan, Johnny Lever","5.3","A Bollywood Musical Drama Romance film released in 2003, directed by Sooraj R. Barjatya and starring Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan, Johnny Lever.",""
"Officer","Bollywood","Action Crime Drama","2001","Naeem Sha","Sunil Shetty, Raveena Tandon, Danny Denzongpa, Sadashiv Amrapurkar","5.3","A Bollywood Action Crime Drama film released in 2001, directed by Naeem Sha and starring Sunil Shetty, Raveena Tandon, Danny Denzongpa, Sadashiv Amrapurkar.",""
"Chandni Bar","Bollywood","Crime Drama","2001","Madhur Bhandarkar","Tabu, Atul Kulkarni, Rajpal Yadav, Shri Vallabh Vyas","8","A Bollywood Crime Drama film released in 2001, directed by Madhur Bhandarkar and starring Tabu, Atul Kulkarni, Rajpal Yadav, Shri Vallabh Vyas.",""
"Kuch Khatti Kuch Meethi","Bollywood","Drama Family","2001","Rahul Rawail","Kajol, Rishi Kapoor, Rati Agnihotri, Sunil Shetty","5.3","A Bollywood Drama Family film released in 2001, directed by Rahul Rawail and starring Kajol, Rishi Kapoor, Rati Agnihotri, Sunil Shetty.",""
"Censor","Bollywood","Musical Romance","2001","Dev Anand","Dev Anand, Hema Malini, Shammi Kapoor, Rekha","4.4","A Bollywood Musical Romance film released in 2001, directed by Dev Anand and starring Dev Anand, Hema Malini, Shammi Kapoor, Rekha.",""
"Farz","Bollywood","Action","2001","Raj Kanwar","Sunny Deol, Preity Zinta, Jackie Shroff, Om Puri","7.1","A Bollywood Action film released in 2001, directed by Raj Kanwar and starring Sunny Deol, Preity Zinta, Jackie Shroff, Om Puri.",""
"Mujhe Meri Biwi Se Bachaao","Bollywood","Comedy Musical Family","2001","Harry Baweja","Rekha, Naseeruddin Shah, Arshad Warsi, Suman Ranganathan","4.4","A Bollywood Comedy Musical Family film released in 2001, directed by Harry Baweja and starring Rekha, Naseeruddin Shah, Arshad Warsi, Suman Ranganathan.",""
"Mujhse Dosti Karoge!","Bollywood","Musical Romance Drama","2002","Kunal Kohli","Rani Mukerji, Hrithik Roshan, Kareena Kapoor, Uday Chopra","5.3","A Bollywood Musical Romance Drama film released in 2002, directed by Kunal Kohli and starring Rani Mukerji, Hrithik Roshan, Kareena Kapoor, Uday Chopra.",""
"Daman: A Victim of Marital Violence","Bollywood","Drama Family","2001","Kalpana Lajmi","Raveena Tandon, Sayaji Shinde, Sanjay Suri, Raima Sen","4.4","A Bollywood Drama Family film released in 2001, directed by Kalpana Lajmi and starring Raveena Tandon, Sayaji Shinde, Sanjay Suri, Raima Sen.",""
"Aashiq","Bollywood","Action Comedy Drama","2001","Indra Kumar","Bobby Deol, Rahul Dev, Dinesh Hingoo, Vrajesh Hirjee","6.2","A Bollywood Action Comedy Drama film released in 2001, directed by Indra Kumar and starring Bobby Deol, Rahul Dev, Dinesh Hingoo, Vrajesh Hirjee.",""
"Dil Ne Phir Yaad Kiya","Bollywood","Drama Musical Romance","2001","Rajat Rawail","Sadashiv Amrapurkar, Vinay Anand, Pooja Batra, Govinda","4.4","A Bollywood Drama Musical Romance film released in 2001, directed by Rajat Rawail and starring Sadashiv Amrapurkar, Vinay Anand, Pooja Batra, Govinda.",""
"Pyaar Diwana Hota Hai","Bollywood","Romance","2002","Kirti Kumar","Rani Mukerji, Govinda, Om Puri, Laxmikant Berde","4.4","A Bollywood Romance film released in 2002, directed by Kirti Kumar and starring Rani Mukerji, Govinda, Om Puri, Laxmikant Berde.",""
"Grahan","Bollywood","Drama Romance","2001","Shashilal K. Nair","Jackie Shroff, Manisha Koirala, Anupama Verma, Prasad Purandhare","4.4","A Bollywood Drama Romance film released in 2001, directed by Shashilal K. Nair and starring Jackie Shroff, Manisha Koirala, Anupama Verma, Prasad Purandhare.",""
"Rahul","Bollywood","Drama","2001","Prakash Jha","Neha, Rajeshwari Sachdev, Gulshan Grover, Nina Kulkarni","4.4","A Bollywood Drama film released in 2001, directed by Prakash Jha and starring Neha, Rajeshwari Sachdev, Gulshan Grover, Nina Kulkarni.",""
"Ajnabee","Bollywood","Crime Mystery Thriller","2001","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Akshay Kumar, Bobby Deol, Kareena Kapoor, Bipasha Basu","7.1","A Bollywood Crime Mystery Thriller film released in 2001, directed by Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla and starring Akshay Kumar, Bobby Deol, Kareena Kapoor, Bipasha Basu.",""
"Jodi No.1","Bollywood","Comedy","2001","David Dhawan","Sanjay Dutt, Govinda, Twinkle Khanna, Monica Bedi","8.9","A Bollywood Comedy film released in 2001, directed by David Dhawan and starring Sanjay Dutt, Govinda, Twinkle Khanna, Monica Bedi.",""
"Chhupa Rustam: A Musical Thriller","Bollywood","Crime Drama Romance","2001","Aziz Sejawal","Tinnu Anand, Raj Babbar, Laxmikant Berde, Avtar Gill","6.2","A Bollywood Crime Drama Romance film released in 2001, directed by Aziz Sejawal and starring Tinnu Anand, Raj Babbar, Laxmikant Berde, Avtar Gill.",""
"The Guru","Bollywood","Comedy Fantasy Music","2002","Daisy von Scherler Mayer","Jimi Mistry, Heather Graham, Marisa Tomei, Michael McKean","4.4","A Bollywood Comedy Fantasy Music film released in 2002, directed by Daisy von Scherler Mayer and starring Jimi Mistry, Heather Graham, Marisa Tomei, Michael McKean.",""
"Pyaar Tune Kya Kiya...","Bollywood","Thriller","2001","Rajat Mukherjee","Fardeen Khan, Ravi Baswani, Kannu Gill, Sonali Kulkarni","6.2","A Bollywood Thriller film released in 2001, directed by Rajat Mukherjee and starring Fardeen Khan, Ravi Baswani, Kannu Gill, Sonali Kulkarni.",""
"Bas Itna Sa Khwaab Hai...","Bollywood","Romance","2001","Goldie Behl","Rani Mukerji, Abhishek Bachchan, Sushmita Sen, Jackie Shroff","4.4","A Bollywood Romance film released in 2001, directed by Goldie Behl and starring Rani Mukerji, Abhishek Bachchan, Sushmita Sen, Jackie Shroff.",""
"Gadar: Ek Prem Katha","Bollywood","Action Drama Romance","2001","Anil Sharma","Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey","11.6","A Bollywood Action Drama Romance film released in 2001, directed by Anil Sharma and starring Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey.",""
"Mujhe Kucch Kehna Hai","Bollywood","Romance","2001","Satish Kaushik","Tusshar Kapoor, Kareena Kapoor, Amrish Puri, Rinke Khanna","9.8","A Bollywood Romance film released in 2001, directed by Satish Kaushik and starring Tusshar Kapoor, Kareena Kapoor, Amrish Puri, Rinke Khanna.",""
"Paagalpan","Bollywood","Romance","2001","Joy Augustine","Karan Nath, Aarti Agarwal, Vilas Ujawane, Bharat Dabholkar","4.4","A Bollywood Romance film released in 2001, directed by Joy Augustine and starring Karan Nath, Aarti Agarwal, Vilas Ujawane, Bharat Dabholkar.",""
"Love Ke Liye Kuch Bhi Karega","Bollywood","Comedy Crime Romance","2001","Eeshwar Nivas","Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Sonali Bendre","5.3","A Bollywood Comedy Crime Romance film released in 2001, directed by Eeshwar Nivas and starring Saif Ali Khan, Fardeen Khan, Aftab Shivdasani, Sonali Bendre.",""
"Uljhan","Bollywood","Drama","2001","Rajan Johri","Puru Rajkumar, Dipti Bhatnagar, Kanchan, Laxmikant Berde","4.4","A Bollywood Drama film released in 2001, directed by Rajan Johri and starring Puru Rajkumar, Dipti Bhatnagar, Kanchan, Laxmikant Berde.",""
"Aks","Bollywood","Thriller Mystery","2001","Rakeysh Omprakash Mehra","Amitabh Bachchan, Raveena Tandon, Manoj Bajpayee, Nandita Das","5.3","A Bollywood Thriller Mystery film released in 2001, directed by Rakeysh Omprakash Mehra and starring Amitabh Bachchan, Raveena Tandon, Manoj Bajpayee, Nandita Das.",""
"Tum Bin...: Love Will Find a Way","Bollywood","Drama Romance","2001","Anubhav Sinha","Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Raqesh Vashisth","7.1","A Bollywood Drama Romance film released in 2001, directed by Anubhav Sinha and starring Priyanshu Chatterjee, Himanshu Malik, Sandali Sinha, Raqesh Vashisth.",""
"Nayak: The Real Hero","Bollywood","Drama Action","2001","S. Shankar","Anil Kapoor, Rani Mukerji, Amrish Puri, Johnny Lever","5.3","A Bollywood Drama Action film released in 2001, directed by S. Shankar and starring Anil Kapoor, Rani Mukerji, Amrish Puri, Johnny Lever.",""
"Dil Chahta Hai","Bollywood","Comedy Drama","2001","Farhan Akhtar","Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta","7.1","A Bollywood Comedy Drama film released in 2001, directed by Farhan Akhtar and starring Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta.",""
"Hum Ho Gaye Aap Ke","Bollywood","Musical","2001","Ahathian, Sunil Kumar Agrawal","Fardeen Khan, Reema Sen, Apoorva Agnihotri, Suman Ranganathan","4.4","A Bollywood Musical film released in 2001, directed by Ahathian, Sunil Kumar Agrawal and starring Fardeen Khan, Reema Sen, Apoorva Agnihotri, Suman Ranganathan.",""
"Yeh Raaste Hain Pyaar Ke","Bollywood","Romance Drama","2001","Deepak S. Shivdasani","Ajay Devgn, Madhuri Dixit, Preity Zinta, Vikram Gokhale","5.3","A Bollywood Romance Drama film released in 2001, directed by Deepak S. Shivdasani and starring Ajay Devgn, Madhuri Dixit, Preity Zinta, Vikram Gokhale.",""
"Lajja","Bollywood","Drama Musical Crime","2001","Rajkumar Santoshi","Rekha, Anil Kapoor, Jackie Shroff, Madhuri Dixit","5.3","A Bollywood Drama Musical Crime film released in 2001, directed by Rajkumar Santoshi and starring Rekha, Anil Kapoor, Jackie Shroff, Madhuri Dixit.",""
"Kaante","Bollywood","Action Crime Drama","2002","Sanjay Gupta","Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Mahesh Manjrekar","6.2","A Bollywood Action Crime Drama film released in 2002, directed by Sanjay Gupta and starring Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Mahesh Manjrekar.",""
"Shirdi Sai Baba","Bollywood","Drama Mystery","2001","Deepak Balraj Vij","Sudhir Dalvi, Dharmendra, Vikram Gokhale, Rohini Hattangadi","4.4","A Bollywood Drama Mystery film released in 2001, directed by Deepak Balraj Vij and starring Sudhir Dalvi, Dharmendra, Vikram Gokhale, Rohini Hattangadi.",""
"Bollywood Bound","Bollywood","Documentary","2003","Nisha Pahuja","Neeru Bajwa, Ruby Bhatia, Vekeana Dhillon, Vikram Dhillon","4.4","A Bollywood Documentary film released in 2003, directed by Nisha Pahuja and starring Neeru Bajwa, Ruby Bhatia, Vekeana Dhillon, Vikram Dhillon.",""
"Company","Bollywood","Action Crime Thriller","2002","Ram Gopal Varma","Ajay Devgn, Mohanlal, Manisha Koirala, Seema Biswas","7.1","A Bollywood Action Crime Thriller film released in 2002, directed by Ram Gopal Varma and starring Ajay Devgn, Mohanlal, Manisha Koirala, Seema Biswas.",""
"Ittefaq","Bollywood","Action Drama Thriller","2001","Sanjay Khanna","Sunil Shetty, Mukul Dev, Pooja Batra, Anupama Verma","4.4","A Bollywood Action Drama Thriller film released in 2001, directed by Sanjay Khanna and starring Sunil Shetty, Mukul Dev, Pooja Batra, Anupama Verma.",""
"Yeh Teraa Ghar Yeh Meraa Ghar","Bollywood","Comedy Drama","2001","Priyadarshan","Sunil Shetty, Mahima Chaudhry, Paresh Rawal, Saurabh Shukla","5.3","A Bollywood Comedy Drama film released in 2001, directed by Priyadarshan and starring Sunil Shetty, Mahima Chaudhry, Paresh Rawal, Saurabh Shukla.",""
"Yeh Zindagi Ka Safar","Bollywood","Drama","2001","Tanuja Chandra","Ameesha Patel, Jimmy Shergill, Nafisa Ali, Gulshan Grover","4.4","A Bollywood Drama film released in 2001, directed by Tanuja Chandra and starring Ameesha Patel, Jimmy Shergill, Nafisa Ali, Gulshan Grover.",""
"Rehnaa Hai Terre Dil Mein","Bollywood","Musical","2001","Gautham Menon","Madhavan, Saif Ali Khan, Dia Mirza, Vrajesh Hirjee","5.3","A Bollywood Musical film released in 2001, directed by Gautham Menon and starring Madhavan, Saif Ali Khan, Dia Mirza, Vrajesh Hirjee.",""
"Indian","Bollywood","Action Crime Drama","2001","N. Maharajan","Malaika Arora, Raj Babbar, Rana Jung Bahadur, Balwant Bansal","8.9","A Bollywood Action Crime Drama film released in 2001, directed by N. Maharajan and starring Malaika Arora, Raj Babbar, Rana Jung Bahadur, Balwant Bansal.",""
"Deewaanapan","Bollywood","Romance Drama","2001","Ashu Trikha","Arjun Rampal, Dia Mirza, Vinod Khanna, Om Puri","5.3","A Bollywood Romance Drama film released in 2001, directed by Ashu Trikha and starring Arjun Rampal, Dia Mirza, Vinod Khanna, Om Puri.",""
"Moksha: Salvation","Bollywood","Drama Thriller","2001","Ashok Mehta","Arjun Rampal, Manisha Koirala, Kalpana Pandit, Suresh Oberoi","4.4","A Bollywood Drama Thriller film released in 2001, directed by Ashok Mehta and starring Arjun Rampal, Manisha Koirala, Kalpana Pandit, Suresh Oberoi.",""
"Tera Mera Saath Rahen","Bollywood","Drama","2001","Mahesh Manjrekar","Ajay Devgn, Sonali Bendre, Namrata Shirodkar, Prem Chopra","4.4","A Bollywood Drama film released in 2001, directed by Mahesh Manjrekar and starring Ajay Devgn, Sonali Bendre, Namrata Shirodkar, Prem Chopra.",""
"Ehsaas: The Feeling","Bollywood","Drama","2001","Mahesh Manjrekar","Anand Raj Anand, Sunidhi Chauhan, Nagesh Haldankar, Shakti Kapoor","4.4","A Bollywood Drama film released in 2001, directed by Mahesh Manjrekar and starring Anand Raj Anand, Sunidhi Chauhan, Nagesh Haldankar, Shakti Kapoor.",""
"Veer Savarkar","Bollywood","Biography Drama","2001","Ved Rahi","Shailendra Gaur, Pankaj Berry, Tom Alter, Hemant Birje","4.4","A Bollywood Biography Drama film released in 2001, directed by Ved Rahi and starring Shailendra Gaur, Pankaj Berry, Tom Alter, Hemant Birje.",""
"Aamdani Atthanni Kharcha Rupaiya","Bollywood","Comedy","2001","K. Raghavendra Rao, A.S. Ravindra Babu","Govinda, Juhi Chawla, Tabu, Chandrachur Singh","6.2","A Bollywood Comedy film released in 2001, directed by K. Raghavendra Rao, A.S. Ravindra Babu and starring Govinda, Juhi Chawla, Tabu, Chandrachur Singh.",""
"Pitaah","Bollywood","Action Drama","2002","Mahesh Manjrekar","Sanjay Dutt, Nandita Das, Sachin Khedekar, Tanvi Hegde","5.3","A Bollywood Action Drama film released in 2002, directed by Mahesh Manjrekar and starring Sanjay Dutt, Nandita Das, Sachin Khedekar, Tanvi Hegde.",""
"Aankhen","Bollywood","Comedy Thriller Crime","2002","Vipul Amrutlal Shah","Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal","7.1","A Bollywood Comedy Thriller Crime film released in 2002, directed by Vipul Amrutlal Shah and starring Amitabh Bachchan, Akshay Kumar, Sushmita Sen, Arjun Rampal.",""
"Koi Mere Dil Se Poochhe","Bollywood","Musical Romance Thriller","2002","Vinay Shukla","Jaya Bhaduri, Aftab Shivdasani, Sanjay Kapoor, Juliet Alburque","5.3","A Bollywood Musical Romance Thriller film released in 2002, directed by Vinay Shukla and starring Jaya Bhaduri, Aftab Shivdasani, Sanjay Kapoor, Juliet Alburque.",""
"Style","Bollywood","Musical Comedy","2001","N. Chandra","Sharman Joshi, Sahil Khan, Riya Sen, Shillpi Sharma","8","A Bollywood Musical Comedy film released in 2001, directed by N. Chandra and starring Sharman Joshi, Sahil Khan, Riya Sen, Shillpi Sharma.",""
"Maa Tujhhe Salaam","Bollywood","Action Drama","2002","Tinnu Verma","Sunny Deol, Tabu, Arbaaz Khan, Tinnu Verma","6.2","A Bollywood Action Drama film released in 2002, directed by Tinnu Verma and starring Sunny Deol, Tabu, Arbaaz Khan, Tinnu Verma.",""
"Yeh Dil Aashiqanaa","Bollywood","Action Romance","2002","Sandesh Kohli","Jividha Sharma, Mohan Azaad, Arun Bakshi, Rajat Bedi","7.1","A Bollywood Action Romance film released in 2002, directed by Sandesh Kohli and starring Jividha Sharma, Mohan Azaad, Arun Bakshi, Rajat Bedi.",""
"Filhaal...","Bollywood","Drama","2002","Meghna Gulzar","Tabu, Sushmita Sen, Sanjay Suri, Palash Sen","4.4","A Bollywood Drama film released in 2002, directed by Meghna Gulzar and starring Tabu, Sushmita Sen, Sanjay Suri, Palash Sen.",""
"Haan Maine Bhi Pyaar Kiya","Bollywood","Musical Romance","2002","Dharmesh Darshan","Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Kader Khan","5.3","A Bollywood Musical Romance film released in 2002, directed by Dharmesh Darshan and starring Akshay Kumar, Karisma Kapoor, Abhishek Bachchan, Kader Khan.",""
"Yeh Mohabbat Hai","Bollywood","Action Romance","2002","Umesh Mehra","Akanksha Malhotra, Rahul Bhat, Nasir Khan, Pinky Campbell","4.4","A Bollywood Action Romance film released in 2002, directed by Umesh Mehra and starring Akanksha Malhotra, Rahul Bhat, Nasir Khan, Pinky Campbell.",""
"Tumko Na Bhool Paayenge","Bollywood","Action Drama Mystery","2002","Pankaj Parashar","Salman Khan, Sushmita Sen, Dia Mirza, Sharat Saxena","5.3","A Bollywood Action Drama Mystery film released in 2002, directed by Pankaj Parashar and starring Salman Khan, Sushmita Sen, Dia Mirza, Sharat Saxena.",""
"Kranti","Bollywood","Drama","2002","Naresh Malhotra","Vinod Khanna, Bobby Deol, Ameesha Patel, Rati Agnihotri","5.3","A Bollywood Drama film released in 2002, directed by Naresh Malhotra and starring Vinod Khanna, Bobby Deol, Ameesha Patel, Rati Agnihotri.",""
"Escape from Taliban","Bollywood","Drama Thriller War","2003","Ujjwal Chatterjee","Manisha Koirala, Nawab Shah, Vineeta Malik, Prithvi Zutshi","4.4","A Bollywood Drama Thriller War film released in 2003, directed by Ujjwal Chatterjee and starring Manisha Koirala, Nawab Shah, Vineeta Malik, Prithvi Zutshi.",""
"Kya Yehi Pyaar Hai","Bollywood","Comedy Musical Romance","2002","K. Muralimohana Rao","Jackie Shroff, Aftab Shivdasani, Ameesha Patel, Anupama Verma","7.1","A Bollywood Comedy Musical Romance film released in 2002, directed by K. Muralimohana Rao and starring Jackie Shroff, Aftab Shivdasani, Ameesha Patel, Anupama Verma.",""
"Kitne Door... Kitne Paas","Bollywood","Comedy Romance","2002","Mehul Kumar","Fardeen Khan, Amrita Arora, Satish Shah, Tiku Talsania","4.4","A Bollywood Comedy Romance film released in 2002, directed by Mehul Kumar and starring Fardeen Khan, Amrita Arora, Satish Shah, Tiku Talsania.",""
"Vadh","Bollywood","Mystery Thriller","2002","Nana Patekar","Nana Patekar, Anupama Verma, Puru Rajkumar, Nakhul","4.4","A Bollywood Mystery Thriller film released in 2002, directed by Nana Patekar and starring Nana Patekar, Anupama Verma, Puru Rajkumar, Nakhul.",""
"16 December","Bollywood","Action Drama Mystery","2002","Mani Shankar","Danny Denzongpa, Gulshan Grover, Milind Soman, Dipannita Sharma","7.1","A Bollywood Action Drama Mystery film released in 2002, directed by Mani Shankar and starring Danny Denzongpa, Gulshan Grover, Milind Soman, Dipannita Sharma.",""
"Dum","Bollywood","Crime","2003","Eeshwar Nivas","Vivek Oberoi, Dia Mirza, Atul Kulkarni, Mukesh Rishi","5.3","A Bollywood Crime film released in 2003, directed by Eeshwar Nivas and starring Vivek Oberoi, Dia Mirza, Atul Kulkarni, Mukesh Rishi.",""
"Durga","Bollywood","Action Crime","2002","J.D. Chakravarthi","J.D. Chakravarthi, Snehal Dabi, Jayaprakash, Priyanka","4.4","A Bollywood Action Crime film released in 2002, directed by J.D. Chakravarthi and starring J.D. Chakravarthi, Snehal Dabi, Jayaprakash, Priyanka.",""
"Humko Tumse Pyaar Hai","Bollywood","Romance Thriller","2006","Bunty Soorma","Arjun Rampal, Ameesha Patel, Bobby Deol, Achint Kaur","4.4","A Bollywood Romance Thriller film released in 2006, directed by Bunty Soorma and starring Arjun Rampal, Ameesha Patel, Bobby Deol, Achint Kaur.",""
"Road","Bollywood","Thriller","2002","Rajat Mukherjee","Manoj Bajpayee, Vivek Oberoi, Antara Mali, Sayaji Shinde","6.2","A Bollywood Thriller film released in 2002, directed by Rajat Mukherjee and starring Manoj Bajpayee, Vivek Oberoi, Antara Mali, Sayaji Shinde.",""
"Angaar: The Fire","Bollywood","Action","2002","Ajay Kashyap","Vinay Anand, Rana Jung Bahadur, Rajat Bedi, Sanober Kabir","4.4","A Bollywood Action film released in 2002, directed by Ajay Kashyap and starring Vinay Anand, Rana Jung Bahadur, Rajat Bedi, Sanober Kabir.",""
"Ansh: The Deadly Part","Bollywood","Musical Action","2002","Rajan Johri","Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji","4.4","A Bollywood Musical Action film released in 2002, directed by Rajan Johri and starring Om Puri, Ashutosh Rana, Abbas, Sharbani Mukherji.",""
"Lal Salaam","Bollywood","Musical Action Drama","2002","Gaganvihari Borate","Nandita Das, Sharad S. Kapoor, Makrand Deshpande, Vijay Raaz","4.4","A Bollywood Musical Action Drama film released in 2002, directed by Gaganvihari Borate and starring Nandita Das, Sharad S. Kapoor, Makrand Deshpande, Vijay Raaz.",""
"Yeh Kaisi Mohabbat","Bollywood","Musical Drama Romance","2002","Dinkar Kapur","Krishna Abhishek, Viveka Babajee, Sheeba Bhakri, Deeksha","4.4","A Bollywood Musical Drama Romance film released in 2002, directed by Dinkar Kapur and starring Krishna Abhishek, Viveka Babajee, Sheeba Bhakri, Deeksha.",""
"Kasam","Bollywood","Adventure Drama Crime","2001","Shibu Mitra","Naseeruddin Shah, Sunny Deol, Chunky Pandey, Neelam","5.3","A Bollywood Adventure Drama Crime film released in 2001, directed by Shibu Mitra and starring Naseeruddin Shah, Sunny Deol, Chunky Pandey, Neelam.",""
"Awara Paagal Deewana","Bollywood","Action Comedy Crime","2002","Vikram Bhatt","Akshay Kumar, Sunil Shetty, Aftab Shivdasani, Preeti Jhangiani","7.1","A Bollywood Action Comedy Crime film released in 2002, directed by Vikram Bhatt and starring Akshay Kumar, Sunil Shetty, Aftab Shivdasani, Preeti Jhangiani.",""
"The Legend of Bhagat Singh","Bollywood","Biography Drama History","2002","Rajkumar Santoshi","Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra","4.4","A Bollywood Biography Drama History film released in 2002, directed by Rajkumar Santoshi and starring Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra.",""
"Ab Ke Baras","Bollywood","Adventure Fantasy Thriller","2002","Raj Kanwar","Arya Babbar, Amrita Rao, Ashutosh Rana, Shakti Kapoor","5.3","A Bollywood Adventure Fantasy Thriller film released in 2002, directed by Raj Kanwar and starring Arya Babbar, Amrita Rao, Ashutosh Rana, Shakti Kapoor.",""
"Mere Yaar Ki Shaadi Hai","Bollywood","Comedy Drama Musical","2002","Sanjay Gadhvi","Uday Chopra, Tulip Joshi, Jimmy Shergill, Bipasha Basu","8","A Bollywood Comedy Drama Musical film released in 2002, directed by Sanjay Gadhvi and starring Uday Chopra, Tulip Joshi, Jimmy Shergill, Bipasha Basu.",""
"Lakshya","Bollywood","War Drama Romance","2004","Farhan Akhtar","Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Sharad S. Kapoor","5.3","A Bollywood War Drama Romance film released in 2004, directed by Farhan Akhtar and starring Amitabh Bachchan, Hrithik Roshan, Preity Zinta, Sharad S. Kapoor.",""
"23rd March 1931: Shaheed","Bollywood","Biography Drama History","2002","Guddu Dhanoa","Bobby Deol, Sunny Deol, Amrita Singh, Rahul Dev","4.4","A Bollywood Biography Drama History film released in 2002, directed by Guddu Dhanoa and starring Bobby Deol, Sunny Deol, Amrita Singh, Rahul Dev.",""
